"mbti","function_pair","type1","type2","type3","type4","majorcount","minorcount","danceability_mean","energy_mean","loudness_mean","mode_mean","speechiness_mean","acousticness_mean","liveness_mean","valence_mean","tempo_mean","instrumentalness_mean","pminor"
"INFP","NF","I","N","F","P",27,23,0.60304,0.7047,-6.53438,0.54,0.084914,0.14651005,0.195048,0.54676,120.50204,0.1128525752,0.46
"INFP","NF","I","N","F","P",28,22,0.53962,0.5447276,-7.77646,0.56,0.058558,0.324829162,0.169456,0.339358,112.65566,0.0188255061999999,0.44
"INFP","NF","I","N","F","P",27,23,0.60304,0.7047,-6.53438,0.54,0.084914,0.14651005,0.195048,0.54676,120.50204,0.1128525752,0.46
"INFP","NF","I","N","F","P",30,20,0.64742,0.66154,-6.19144,0.6,0.06638,0.295149,0.142676,0.514972,116.23948,0.0291009446,0.4
"INFP","NF","I","N","F","P",24,24,0.72225,0.737708333333333,-4.40508333333333,0.5,0.0871624999999999,0.175420833333333,0.1892,0.626854166666667,117.178354166667,8.7184375e-05,0.5
"INFP","NF","I","N","F","P",30,20,0.4821,0.58134,-7.91348,0.6,0.0344379999999999,0.22017986,0.197074,0.410236,111.0848,0.1043219954,0.4
"INFP","NF","I","N","F","P",32,18,0.71154,0.82538,-3.38896,0.64,0.093372,0.1159968,0.200624,0.61706,124.24244,0.000189992,0.36
"INFP","NF","I","N","F","P",37,13,0.569,0.54852,-7.6433,0.74,0.0678879999999999,0.34446882,0.177026,0.43374,125.68384,0.0097352724,0.26
"INFP","NF","I","N","F","P",33,17,0.53626,0.5476,-8.4111,0.66,0.0594699999999999,0.35369386,0.192906,0.430794,123.26278,0.0471817386,0.34
"INFP","NF","I","N","F","P",28,11,0.599512820512821,0.682897435897436,-5.11979487179487,0.717948717948718,0.0610615384615384,0.281246666666667,0.166825641025641,0.459225641025641,122.263358974359,0.0270687728205128,0.282051282051282
"INFP","NF","I","N","F","P",34,11,0.441044444444444,0.479288888888889,-10.0947111111111,0.755555555555556,0.0430244444444444,0.452778448888889,0.15696,0.247877777777778,119.0232,0.209280668666667,0.244444444444444
"INFP","NF","I","N","F","P",37,13,0.6129,0.67272,-6.71444,0.74,0.073612,0.2089998,0.146512,0.55006,123.42894,0.00389457,0.26
